,name,size,types,subtype,alignment,armor_class,hit_points,str_stats,dex_stats,con_stats,int_stats,wis_stats,cha_stats,dmg_vul,dmg_resist,dmg_immun,condition_immun,cr,legendary_desc,size_m
138,Black Knight Commander,Medium,humanoid,,lawful evil,18,78,18,10,14,12,13,15,,,,,5.0,,1.8
139,Black Pudding,Large,ooze,,unaligned,7,85,16,5,16,1,6,1,,,"acid, cold, lightning, slashing","blinded, charmed, deafened, exhaustion, frightened, prone",4.0,,3.5
140,Black Sun Orc,Medium,humanoid,orc,chaotic evil,14,65,16,14,14,9,12,8,,,,,2.0,,1.8
141,Black Sun Priestess,Medium,humanoid,orc,chaotic evil,13,67,16,12,16,9,16,14,,,,,3.0,,1.8
142,Blemmyes,Large,monstrosity,,chaotic evil,15,168,20,13,20,7,12,5,,,,,8.0,,3.5
143,Blink Dog,Medium,fey,,lawful good,13,22,12,17,12,10,13,11,,,,,0.25,,1.8
144,Blood Elemental,Large,elemental,,neutral,14,95,16,13,18,5,10,5,poison,"acid, fire; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, psychic","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",5.0,,3.5
145,Blood Giant,Huge,giant,,lawful neutral,15,126,23,12,18,8,16,5,,necrotic,"cold, poison","exhaustion, poisoned",8.0,,6.86
146,Blood Hag,Medium,fey,,chaotic evil,16,178,20,16,18,19,21,17,,,,"charmed, poisoned",11.0,,1.8
147,Blood Hawk,Small,beast,,unaligned,12,7,6,14,10,3,14,5,,,,,0.125,,0.9
148,Blood Ooze,Large,ooze,,unaligned,8,76,16,6,18,1,8,2,,,"acid, fire, necrotic, slashing","blinded, charmed, deafened, exhaustion, frightened, prone",6.0,,3.5
149,Blood Zombie,Medium,undead,,neutral evil,10,51,16,6,18,3,6,5,,,poison,poisoned,2.0,,1.8
150,Bloody Bones,Medium,monstrosity,,chaotic evil,13,55,16,12,12,6,10,10,,,,,3.0,,1.8
151,Blue Dragon Wyrmling,Medium,dragon,,lawful evil,17,52,17,10,15,12,11,15,,,lightning,,3.0,,1.8
152,Boar,Medium,beast,,unaligned,11,11,13,11,12,2,9,5,,,,,0.25,,1.8
153,Boloti,Tiny,fey,,neutral evil,15,63,12,20,14,13,12,11,,,,,1.0,,0.6
154,Bone Collective,Small,undead,,chaotic evil,17,120,10,20,18,14,10,16,,"bludgeoning, piercing, and slashing damage from nonmagical weapons that aren't silvered","necrotic, poison","exhaustion, poisoned",8.0,,0.9
155,Bone Crab,Small,beast,,neutral,13,33,10,14,14,1,12,4,,bludgeoning,,,0.5,,0.9
156,Bone Devil,Large,fiend,devil,lawful evil,19,142,18,16,18,13,14,16,,"cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison",poisoned,12.0,,3.5
157,Bone Golem,Medium,construct,,unaligned,16,60,10,16,17,3,10,1,,"bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine","necrotic, poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",7.0,,1.8
158,Bone Swarm,Large,swarm of Tiny undead,,chaotic evil,17,198,22,18,10,9,15,20,,piercing and slashing from nonmagical weapons,poison,"charmed, exhaustion, frightened, paralyzed, poisoned, prone, restrained, stunned",10.0,,3.5
159,Bonepowder Ghoul,Small,undead,,neutral evil,18,195,10,20,18,19,15,18,,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical weapons","necrotic, poison","charmed, exhaustion, frightened, paralyzed, poisoned",12.0,,0.9
160,Bookkeeper,Tiny,construct,,unaligned,12,5,8,14,10,6,8,3,,"bludgeoning, piercing, and slashing from nonmagical attacks","either cold or fire (designated at the time of the bookkeeper's creation), poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",0.125,,0.6
161,Boot Grabber,Small,aberration,,neutral,11,22,17,12,14,4,12,2,,acid,,prone,0.5,,0.9
162,Bouda,Medium,fiend,shapechanger,neutral evil,15,93,19,14,18,10,12,15,,"acid, lightning; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison","charmed, exhaustion, poisoned",5.0,,1.8
163,Brass Dragon Wyrmling,Medium,dragon,,chaotic good,16,16,15,10,13,10,11,13,,,fire,,1.0,,1.8
164,Bronze Dragon Wyrmling,Medium,dragon,,lawful good,17,32,17,10,15,12,11,15,,,lightning,,2.0,,1.8
165,Bronze Golem,Large,construct,,unaligned,13,57,17,6,18,1,10,1,,"fire; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine","poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",3.0,,3.5
166,Broodiken,Tiny,construct,,neutral,13,55,8,14,16,2,10,6,,"bludgeoning, piercing, and slashing damage from nonmagical weapons",poison,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned",1.0,,0.6
167,Brown Bear,Large,beast,,unaligned,11,34,19,10,16,2,13,7,,,,,1.0,,3.5
168,Bucca,Tiny,fey,,neutral evil,14,27,10,16,17,13,9,16,,,,,0.5,,0.6
169,Bugbear,Medium,humanoid,goblinoid,chaotic evil,16,27,15,14,13,8,11,9,,,,,1.0,,1.8
170,Bukavac,Large,monstrosity,,neutral evil,16,199,20,17,18,7,15,12,,,thunder,,9.0,,3.5
171,Bulette,Large,monstrosity,,unaligned,17,94,19,11,21,2,10,5,,,,,5.0,,3.5
172,Buraq,Medium,celestial,,lawful good,17,152,15,18,20,18,18,20,,"radiant; bludgeoning, piercing, and slashing from nonmagical weapons",,"charmed, exhaustion, frightened",11.0,,1.8
173,Burrowling,Small,humanoid,burrowling,lawful neutral,13,27,10,16,12,9,12,13,,,,,0.5,,0.9
174,Cactid,Large,plant,,unaligned,14,76,16,8,18,7,10,9,,"bludgeoning, piercing",,"blinded, deafened",3.0,,3.5
175,Cacus Giant,Huge,giant,,chaotic evil,16,138,21,11,20,7,14,10,,,fire,,6.0,,6.86
176,"Camazotz, Demon Lord Of Bats And Fire",Large,fiend,demon,chaotic evil,19,537,30,22,25,12,22,25,,"acid, lightning; bludgeoning, piercing, and slashing from nonmagical weapons","fire, poison, thunder","charmed, deafened, frightened, paralyzed, petrified, poisoned, stunned",22.0,"Camazotz can take 2 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. Camazotz regains spent legendary actions at the start of its turn.",3.5
177,Cambium,Large,fiend,,neutral evil,19,264,21,16,23,17,16,18,,,poison,"exhaustion, poisoned",14.0,,3.5
178,Camel,Large,beast,,unaligned,9,15,16,8,14,2,8,5,,,,,0.125,,3.5
179,Carbuncle,Small,monstrosity,,chaotic good,12,36,8,14,12,11,16,12,,,,charmed,1.0,,0.9
180,Carrion Beetle,Large,beast,,neutral,15,127,19,12,17,1,13,10,,,,paralysis,4.0,,3.5
181,Cat,Tiny,beast,,unaligned,12,2,3,15,10,3,12,7,,,,,0.0,,0.6
182,Cats of Ulthar,Huge,beasts,,unaligned,14,55,9,18,10,2,14,3,,"bludgeoning, piercing, slashing",,"charmed, frightened, paralyzed, petrified, prone, restrained, stunned",4.0,,6.86
183,Cauldronborn,Small,construct,,unaligned,13,13,14,7,12,3,6,1,,piercing and slashing from nonmagical attacks not made with adamantine,poison,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned",2.0,,0.9
184,Cave Dragon Wyrmling,Medium,dragon,,neutral evil,16,75,19,12,17,8,10,12,,,"acid, poison, thunder",poisoned,2.0,,1.8
185,Cave Giant,Huge,giant,,chaotic evil,16,200,27,10,22,8,13,6,,,,,10.0,,6.86
186,Cavelight Moss,Large,plant,,neutral,15,95,24,10,18,1,13,5,,"acid, cold, fire; slashing from nonmagical weapons",,"charmed, deafened, frightened, paralyzed, prone, stunned, unconscious",4.0,,3.5
187,Centaur,Large,monstrosity,,neutral good,12,45,18,14,14,9,13,11,,,,,2.0,,3.5
188,Centaur Chieftain,Large,monstrosity,,chaotic neutral,16,110,19,12,14,9,14,14,,,,,5.0,,3.5
189,Chain Devil,Medium,fiend,devil,lawful evil,16,85,18,15,18,11,12,14,,"cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison",poisoned,11.0,,1.8
190,Chaos-Spawn Goblin,Small,humanoid,goblinoid,neutral evil,13,22,10,14,12,10,10,6,,psychic,,frightened,0.5,,0.9
191,Chelicerae,Large,aberration,,neutral evil,16,153,22,17,17,14,15,14,,,poison,"charmed, poisoned",7.0,,3.5
192,Chernomoi,Tiny,fey,,neutral,13,32,9,18,18,12,11,16,,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silver weapons",,,1.0,,0.6
193,Child Of The Briar,Tiny,plant,,neutral evil,13,50,6,17,11,13,10,14,,,,,1.0,,0.6
194,Child of Yggdrasil,Large,aberration,,neutral evil,14,112,16,10,14,10,18,8,fire,,"acid, cold; bludgeoning from nonmagical attacks",,6.0,,3.5
195,Chimera,Large,monstrosity,,chaotic evil,14,114,19,11,19,3,14,10,,,,,6.0,,3.5
196,Chort Devil,Medium,fiend,devil,lawful evil,18,187,24,20,26,18,20,20,,"bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","cold, fire, poison",poisoned,12.0,,1.8
197,Chronalmental,Large,elemental,,unaligned,17,152,1,20,19,9,13,6,,,"poison; bludgeoning, piercing, and slashing from nonmagical weapons","exhaustion, paralyzed, petrified, poisoned, unconscious",8.0,,3.5
198,Chuhaister,Large,giant,,chaotic evil,16,157,22,9,20,10,11,12,,,poison,"charmed, poisoned",7.0,,3.5
199,Chupacabra,Small,monstrosity,,unaligned,13,36,16,15,12,3,12,6,,,,poisoned,0.5,,0.9
200,Chuul,Large,aberration,,chaotic evil,16,93,19,10,16,5,11,5,,,poison,poisoned,4.0,,3.5
201,Cikavak,Tiny,fey,,neutral,12,17,4,15,10,12,12,4,,"acid, fire, poison",,,0.125,,0.6
202,Cipactli,Medium,fiend,demon,chaotic evil,15,78,16,14,14,10,10,10,fire,lightning,"cold, poison",poisoned,5.0,,1.8
203,City Watch Captain,Medium,humanoid,,lawful neutral,17,91,13,16,14,10,11,13,,,,,4.0,,1.8
204,Clacking Skeleton,Medium,undead,,neutral evil,14,45,14,12,11,6,8,5,bludgeoning,,poison,"exhaustion, poisoned",2.0,,1.8
205,Clay Golem,Large,construct,,unaligned,14,133,20,9,18,3,8,1,,,"acid, poison, psychic; bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",9.0,,3.5
206,Cloaker,Large,aberration,,chaotic neutral,14,78,17,15,12,13,12,14,,,,,8.0,,3.5
207,Clockwork Abomination,Large,construct,devil,lawful evil,16,76,21,12,18,10,10,12,,"acid, cold, fire; bludgeoning, piercing, and slashing from nonmagical weapons",poison,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned",5.0,,3.5
208,Clockwork Assassin,Medium,construct,,unaligned,16,99,14,17,12,12,12,7,,,"lightning, poison","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",6.0,,1.8
209,Clockwork Beetle,Tiny,construct,,unaligned,14,15,8,16,10,4,12,7,,,"poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",0.5,,0.6
210,Clockwork Beetle Swarm,Large,Swarm of Tiny constructs,,neutral,14,52,8,16,12,4,12,7,,"bludgeoning, piercing, and slashing","fire, poison, psychic","charmed, frightened, paralyzed, petrified, prone, restrained, stunned",3.0,,3.5
211,Clockwork Hound,Medium,construct,,unaligned,12,71,16,15,14,1,10,1,,,"poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",2.0,,1.8
212,Clockwork Huntsman,Medium,construct,,unaligned,14,110,17,14,12,4,10,1,,,"poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",3.0,,1.8
213,Clockwork Myrmidon,Large,construct,,unaligned,16,153,20,14,16,10,10,1,,,"poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",6.0,,3.5
214,Clockwork Servant,Medium,construct,,unaligned,11,22,14,12,13,8,12,7,,,"poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",0.125,,1.8
215,Clockwork Soldier,Medium,construct,,unaligned,12,45,13,13,16,5,10,1,,,"poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",1.0,,1.8
216,Clockwork Watchman,Medium,construct,,unaligned,14,55,14,12,12,5,10,1,,,"poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",0.5,,1.8
217,Cloud Giant,Huge,giant,,neutral good (50%) or neutral evil (50%),14,200,27,10,22,12,16,16,,,,,9.0,,6.86
218,Clurichaun,Tiny,fey,,chaotic neutral,14,22,13,12,16,10,8,16,,,,"frightened, poisoned",0.25,,0.6
219,Cobbleswarm,Medium,swarm of Tiny monstrosities,,unaligned,15,36,12,11,11,5,12,5,,"bludgeoning, piercing, slashing",,"charmed, frightened, paralyzed, petrified, prone, stunned",2.0,,1.8
220,Cockatrice,Small,monstrosity,,unaligned,11,27,6,12,12,2,13,5,,,,,0.5,,0.9
221,Commoner,Medium,humanoid,any race,any alignment,10,4,10,10,10,10,10,10,,,,,0.0,,1.8
222,Constrictor Snake,Large,beast,,unaligned,12,13,15,14,12,1,10,3,,,,,0.25,,3.5
223,Copper Dragon Wyrmling,Medium,dragon,,chaotic good,16,22,15,12,13,14,11,13,,,acid,,1.0,,1.8
224,Coral Drake,Medium,dragon,,neutral evil,16,127,19,1,18,10,13,10,,cold,,"paralyzed, poisoned, prone, unconscious",7.0,,1.8
225,Corpse Mound,Huge,undead,,neutral evil,16,207,24,11,21,8,10,8,,necrotic,poison,"charmed, exhaustion, frightened, poisoned",11.0,,6.86
226,Corpse Thief,Medium,humanoid,,neutral,13,30,12,17,16,11,13,6,,,,,0.5,,1.8
227,Corrupting Ooze,Large,ooze,,neutral evil,12,115,16,10,22,4,2,1,,"slashing, bludgeoning","acid, fire, poison","exhaustion, frightened, paralyzed, petrified, poisoned",5.0,,3.5
228,Couatl,Medium,celestial,,lawful good,19,97,16,20,17,18,20,18,,radiant,"psychic; bludgeoning, piercing, and slashing from nonmagical weapons",,4.0,,1.8
229,Crab,Tiny,beast,,unaligned,11,2,2,11,10,1,8,2,,,,,0.0,,0.6
230,Crimson Drake,Tiny,dragon,,chaotic evil,14,54,10,14,14,8,9,14,,,fire,"paralyzed, unconscious",1.0,,0.6
231,Crimson Mist,Medium,undead,,chaotic evil,15,68,17,15,18,3,20,18,,"acid, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, necrotic, poison","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",6.0,,1.8
232,Crocodile,Large,beast,,unaligned,12,19,15,10,13,2,10,5,,,,,0.5,,3.5
233,Crypt Spider,Medium,beast,,lawful evil,15,38,14,16,12,10,11,8,,,poison,poisoned,2.0,,1.8
234,Crystalline Devil,Medium,fiend,devil,lawful evil,15,102,18,12,18,14,13,15,,"acid, cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison",poisoned,6.0,,1.8
235,Cueyatl,Small,humanoid,,lawful evil,11,21,10,12,11,10,11,10,,,,,0.5,,0.9
236,Cueyatl Moon Priest,Small,humanoid,,lawful evil,13,81,10,12,12,10,16,12,,,,,5.0,,0.9
237,Cueyatl Sea Priest,Small,humanoid,,lawful evil,12,45,10,12,12,10,14,10,,,,,1.0,,0.9
238,Cueyatl Warrior,Small,humanoid,,lawful evil,13,36,12,14,12,10,11,10,,,,,1.0,,0.9
239,Cult Fanatic,Medium,humanoid,any race,any non-good alignment,13,22,11,14,12,10,13,14,,,,,2.0,,1.8
240,Cultist,Medium,humanoid,any race,any non-good alignment,12,9,11,12,10,10,11,10,,,,,0.125,,1.8
241,Darakhul High Priestess,Medium,undead,,neutral evil,17,112,16,14,16,12,18,15,,necrotic,poison,"charmed, exhaustion, poisoned",9.0,,1.8
242,Darakhul Shadowmancer,Medium,undead,,neutral evil,12,52,12,16,14,18,13,9,,necrotic,poison,"charmed, exhaustion, poisoned",4.0,,1.8
243,Dark Eye,Medium,humanoid,dark folk,neutral evil,16,71,10,14,15,9,13,16,,,,,3.0,,1.8
244,Dark Father,Large,undead,,lawful neutral,18,65,6,14,15,8,14,8,,"bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison","exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",4.0,,3.5
245,Dark Servant,Medium,humanoid,dark folk,neutral evil,12,55,16,12,13,10,10,10,,,,,1.0,,1.8
246,Dark Voice,Medium,humanoid,dark folk,neutral evil,16,91,14,10,15,11,16,18,,,,,5.0,,1.8
247,Darkmantle,Small,monstrosity,,unaligned,11,22,16,12,13,2,10,5,,,,,0.5,,0.9
248,Dau,Small,fey,,chaotic neutral,13,49,7,17,14,14,17,16,,,,,4.0,,0.9
249,Death Butterfly Swarm,Large,swarm of tiny beasts,,chaotic evil,15,60,1,13,10,1,12,15,,"bludgeoning, piercing, slashing",,"charmed, frightened, paralyzed, petrified, prone, restrained, petrified",4.0,,3.5
250,Death Dog,Medium,monstrosity,,neutral evil,12,39,15,14,14,3,13,6,,,,,1.0,,1.8
251,Deathcap Myconid,Medium,plant,,neutral evil,15,90,12,10,16,10,11,9,,,,,4.0,,1.8
252,Deathsworn Elf,Medium,humanoid,elf,chaotic neutral,16,82,14,19,12,11,13,14,,,,,6.0,,1.8
253,Deathwisp,Medium,undead,,neutral evil,15,82,6,20,16,18,16,20,,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","necrotic, poison","charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained",7.0,,1.8
254,Deep Drake,Large,dragon,,chaotic evil,17,150,21,19,14,11,14,12,,,necrotic,"paralyzed, unconscious",9.0,,3.5
255,Deep Gnome (Svirfneblin),Small,humanoid,gnome,neutral good,15,16,15,14,14,12,10,9,,,,,0.5,,0.9
256,Deep One,Medium,humanoid,,chaotic evil,13,91,16,12,14,10,8,12,,cold,,,2.0,,1.8
257,Deep One Archimandrite,Large,humanoid,,chaotic evil,15,153,20,15,17,12,17,19,,"cold, thunder",,,8.0,,3.5
258,Deep One Hybrid Priest,Medium,humanoid,,chaotic evil,14,120,18,14,16,12,12,15,,cold,,,4.0,,1.8
259,Deer,Medium,beast,,unaligned,13,4,11,16,11,2,14,5,,,,,0.0,,1.8
260,Degenerate Titan,Huge,giant,,chaotic evil,12,161,24,6,20,6,9,7,,,,,8.0,,6.86
261,Derro Fetal Savant,Tiny,humanoid,,chaotic evil,15,2,1,1,6,6,12,20,,,psychic,"charmed, frightened",4.0,,0.6
262,Derro Shadow Antipaladin,Small,humanoid,derro,chaotic evil,18,82,11,18,18,11,5,14,,,,,5.0,,0.9
263,Desert Giant,Huge,giant,,neutral,17,175,27,10,22,13,18,15,,,fire,,9.0,,6.86
264,Desert Troll,Large,giant,,chaotic evil,15,105,20,13,20,9,12,7,,,fire,,6.0,,3.5
265,Deva,Medium,celestial,,lawful good,17,136,18,18,18,17,20,20,,"radiant; bludgeoning, piercing, and slashing from nonmagical weapons",,"charmed, exhaustion, frightened",10.0,,1.8
266,Devil Bough,Huge,fiend,,neutral evil,14,114,18,10,17,10,10,8,,,"fire, poison",poisoned,6.0,,6.86
267,Devil Shark,Gargantuan,monstrosity,,neutral evil,16,198,24,14,22,14,20,14,,fire,cold,,13.0,,10.0
268,Devilbound Gnomish Prince,Small,humanoid,gnome,any evil,12,104,10,14,15,16,12,22,,"cold, fire, poison; bludgeoning, piercing, and slashing damage from nonmagical weapons that aren't silvered",,poisoned,9.0,,0.9
269,Dhampir,Medium,humanoid,dhampir,any alignment,15,32,12,15,14,10,10,16,,necrotic,,,1.0,,1.8
270,Dhampir Commander,Medium,humanoid,dhampir,any alignment,17,97,14,17,16,14,12,19,,necrotic,,,7.0,,1.8
271,Dipsa,Tiny,ooze,,unaligned,15,27,3,17,14,1,6,1,,acid,,"blinded, charmed, deafened, exhaustion, frightened, prone",0.25,,0.6
272,Dire Wolf,Large,beast,,unaligned,14,37,17,15,15,3,12,7,,,,,1.0,,3.5
273,Dissimortuum,Medium,undead,,chaotic evil,15,112,14,10,16,8,11,18,,"bludgeoning, piercing, and slashing from nonmagical weapons","necrotic, poison","charmed, exhaustion, poisoned",7.0,,1.8
274,Djinni,Large,elemental,,chaotic good,17,161,21,15,22,15,16,20,,,"lightning, thunder",,11.0,,3.5
275,Dogmole,Medium,beast,,neutral,14,71,14,17,15,2,12,10,,,,,1.0,,1.8
276,Dogmole Juggernaut,Large,monstrosity,,neutral,15,126,21,14,20,2,10,2,,,,,5.0,,3.5
277,Domovoi,Medium,fey,,chaotic neutral,15,93,19,13,18,6,10,16,,,"acid, lightning",,4.0,,1.8
278,Doom Golem,Large,construct,,unaligned,17,153,24,13,16,3,10,1,,,"cold, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",10.0,,3.5
279,Doppelganger,Medium,monstrosity,shapechanger,unaligned,14,52,11,18,14,11,12,14,,,,charmed,3.0,,1.8
280,Doppelrat,Tiny,monstrosity,,unaligned,13,22,2,17,14,2,13,2,,,,,2.0,,0.6
281,Dorreq,Medium,aberration,,neutral evil,15,93,19,19,13,11,8,6,,"acid, cold, lightning",,,4.0,,1.8
282,Dracotaur,Large,dragon,,chaotic neutral,17,110,21,17,16,10,13,15,,,lightning,,6.0,,3.5
283,Draft Horse,Large,beast,,unaligned,10,19,18,10,12,2,11,7,,,,,0.25,,3.5
284,Dragon Eel,Huge,dragon,,neutral,18,230,26,12,20,14,13,14,,,lightning,"paralyzed, prone",12.0,,6.86
285,Dragon Turtle,Gargantuan,dragon,,neutral,20,341,25,10,20,10,12,12,,fire,,,17.0,,10.0
286,Dragonleaf Tree,Large,plant,,unaligned,16,152,16,10,19,3,12,17,,,"A dragonleaf tree enjoys the same immunities as its progenitor. Black, copper, and green trees are immune to acid damage; blue and bronze trees are immune to lightning damage; brass, gold, and red trees are immune to fire damage; and silver and white trees are immune to cold damage.","blinded, deafened",8.0,,3.5
287,Drakon,Large,beast,,unaligned,16,105,14,19,15,2,12,10,,acid,,paralyzed,5.0,,3.5
288,Dream Eater,Medium,fiend,,lawful evil,15,75,15,18,17,16,13,20,,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical weapons",poison,poisoned,5.0,,1.8
289,Dream Squire,Medium,fey,,neutral,15,71,15,14,12,10,10,8,,,,exhaustion,2.0,,1.8
290,Dream Wraith,Medium,undead,,neutral evil,14,60,6,18,17,12,15,16,psychic,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison",poisoned,5.0,,1.8
291,Dretch,Small,fiend,demon,chaotic evil,11,18,11,11,12,5,8,3,,"cold, fire, lightning",poison,poisoned,0.25,,0.9
292,Drider,Large,monstrosity,,chaotic evil,19,123,16,16,18,13,14,12,,,,,6.0,,3.5
293,Droth,Huge,aberration,shoth,lawful neutral,16,230,18,9,20,14,16,20,,"cold, fire",acid,,12.0,,6.86
294,Drow,Medium,humanoid,elf,neutral evil,15,13,10,14,10,11,11,12,,,,,0.25,,1.8
295,Drowned Maiden,Medium,undead,,neutral evil,15,90,15,16,10,10,12,18,,"bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","necrotic, poison","charmed, exhaustion, frightened, paralyzed, poisoned",5.0,,1.8
296,Druid,Medium,humanoid,any race,any alignment,11,27,10,12,13,12,15,11,,,,,2.0,,1.8
297,Dryad,Medium,fey,,neutral,11,22,10,12,11,14,15,18,,,,,1.0,,1.8
298,Duergar,Medium,humanoid,dwarf,lawful evil,16,26,14,11,14,11,10,9,,poison,,,1.0,,1.8
299,Dullahan,Large,fey,,lawful evil,17,178,19,18,20,13,15,17,,"bludgeoning, piercing, and slashing damage from nonmagical weapons",necrotic,"charmed, frightened, exhaustion",11.0,,3.5
300,Dune Mimic,Huge,monstrosity,shapechanger,neutral,13,168,20,8,18,9,13,10,,,acid,prone,8.0,,6.86
301,Duskthorn Dryad,Medium,fey,,chaotic,17,77,10,20,13,14,15,24,,,,,3.0,,1.8
302,Dust Goblin,Small,humanoid,goblinoid,neutral evil,14,5,8,16,14,10,8,8,,,,"charmed, frightened",0.25,,0.9
303,Dust Goblin Chieftain,Small,humanoid,goblinoid,neutral evil,16,44,8,18,15,14,13,13,,,,,3.0,,0.9
304,Dust Mephit,Small,elemental,,neutral evil,12,17,5,14,10,9,11,10,fire,,poison,poisoned,0.5,,0.9
305,Dvarapala,Huge,giant,,any alignment (as its patron deity),14,136,19,8,18,10,16,9,,,,"charmed, exhaustion, frightened",5.0,,6.86
306,Dwarven Ringmage,Medium,humanoid,dwarf,any,16,82,10,14,13,18,12,9,,poison,,,7.0,,1.8
307,Eagle,Small,beast,,unaligned,12,3,6,15,10,2,14,7,,,,,0.0,,0.9
308,Eala,Small,monstrosity,,unaligned,15,40,10,16,12,2,12,16,,,fire,,2.0,,0.9
309,Earth Elemental,Large,elemental,,neutral,17,126,20,8,20,5,10,5,thunder,"bludgeoning, piercing, and slashing from nonmagical weapons",poison,"exhaustion, paralyzed, petrified, poisoned, unconscious",5.0,,3.5
310,Eater Of Dust (Yakat-Shi),Medium,aberration,,neutral evil,17,114,20,14,20,10,15,17,,"acid, cold","bludgeoning, piercing, poison and slashing from nonmagical weapons","blindness, lightning, poisoned",9.0,,1.8
311,Echo,Medium,fiend,demon,chaotic evil,15,102,20,20,18,14,18,16,,"cold, fire, lightning",poison,poisoned,6.0,,1.8
312,Ecstatic Bloom,Huge,celestial,,neutral good,15,171,10,9,16,20,19,14,fire,,radiant,"charmed, frightened",11.0,,6.86
313,Edimmu,Medium,undead,,chaotic evil,15,75,1,19,16,12,13,13,,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical weapons","necrotic, poison","charmed, exhaustion, grappled, frightened, paralyzed, petrified, poisoned, prone, restrained, unconscious",4.0,,1.8
314,Edjet,Medium,humanoid,dragonborn,lawful neutral,14,52,17,12,14,10,13,13,,fire,,,3.0,,1.8
315,Eel Hound,Medium,fey,,neutral,14,77,19,16,13,6,13,16,,,,,2.0,,1.8
316,Efreeti,Large,elemental,,lawful evil,17,200,22,12,24,16,15,16,,,fire,,11.0,,3.5
317,Einherjar,Medium,humanoid,,chaotic neutral,18,119,19,16,19,10,14,11,,piercing weapons that are nonmagical,,,7.0,,1.8
318,Elder Ghost Boar,Huge,monstrosity,,unaligned,15,104,22,9,17,7,12,7,,,,,6.0,,6.86
319,Elder Shadow Drake,Large,dragon,,chaotic evil,16,114,22,13,18,8,9,13,,,cold,"paralyzed, unconscious",7.0,,3.5
320,Eleinomae,Medium,fey,,chaotic evil,18,112,13,19,16,14,14,19,,,,,5.0,,1.8
321,Elemental Locus,Gargantuan,elemental,,neutral,16,290,28,1,18,10,11,11,,"bludgeoning, piercing, and slashing","acid, cold, fire, lightning, poison, thunder; bludgeoning, piercing, and slashing from nonmagical weapons","charmed, exhaustion, frightened, paralyzed, petrified, poisoned, unconscious",17.0,,10.0
322,Elementalist,Medium,humanoid,dragonborn,lawful neutral,15,45,8,16,15,12,10,17,,"one of fire, lightning, cold, or poison (see Elemental Focus)",,,2.0,,1.8
323,Elephant,Huge,beast,,unaligned,12,76,22,9,17,3,11,6,,,,,4.0,,6.86
324,Elite Kobold,Small,humanoid,kobold,lawful neutral,14,26,10,17,14,12,14,10,,,,,1.0,,0.9
325,Elk,Large,beast,,unaligned,10,13,16,10,12,2,10,6,,,,,0.25,,3.5
326,Elophar,Large,undead,,chaotic evil,8,126,19,6,20,16,3,10,,,poison,poisoned,4.0,,3.5
